id;awardyear;category;awarddate;motivation;prizeamount;prizeamountadjusted
651;1975;The Nobel Prize in Literature;1975-10-23;for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions;630000;3465908
881;2012;The Nobel Peace Prize;2012-10-12;for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe;8000000;8512821
649;1974;The Nobel Prize in Literature;NA;for a narrative art, far-seeing in lands and ages, in the service of freedom;550000;3322627
929;2016;The Nobel Prize in Physics;2016-10-04;for theoretical discoveries of topological phase transitions and topological phases of matter;8000000;8451577
283;1995;The Nobel Prize in Chemistry;1995-10-11;for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone;7200000;9446598
556;1993;The Nobel Peace Prize;1993-10-15;for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa;6700000;9208279
58;1952;The Nobel Prize in Physics;NA;for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith;171135;2592831
379;1964;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism;273000;2879320
14;1909;The Nobel Prize in Physics;NA;in recognition of their contributions to the development of wireless telegraphy;139800;7212924
492;1927;The Nobel Peace Prize;1927-12-10;for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation;126501;3658946
460;1998;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system;7600000;9889843
786;2004;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2004-10-11;for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles;10000000;11976161
963;2018;The Nobel Prize in Chemistry;2018-10-03;for the directed evolution of enzymes;9000000;9163200
372;1962;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material;257220;2888429
180;1922;The Nobel Prize in Chemistry;NA;for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule;122483;3203014
699;1985;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;1985-10-15;for his pioneering analyses of saving and of financial markets;1800000;3913667
887;2013;The Nobel Prize in Physics;2013-10-08;for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider;8000000;8517568
380;1965;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning genetic control of enzyme and virus synthesis;282000;2833358
623;1952;The Nobel Prize in Literature;NA;for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life;171135;2592831
824;2008;The Nobel Prize in Physiology or Medicine;2008-10-06;for their discovery of human immunodeficiency virus;10000000;11124709
494;1929;The Nobel Peace Prize;1930-12-10;for his crucial role in bringing about the Briand-Kellogg Pact;172760;4996952
778;2004;The Nobel Prize in Physics;2004-10-05;for the discovery of asymptotic freedom in the theory of the strong interaction;10000000;11976161
613;1939;The Nobel Prize in Literature;NA;for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature;148822;4304564
193;1935;The Nobel Prize in Chemistry;NA;in recognition of their synthesis of new radioactive elements;159917;5088026
573;1904;The Nobel Prize in Literature;NA;"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist";140859;7908819
463;1901;The Nobel Peace Prize;1901-12-10;for his lifelong work for international peace conferences, diplomacy and arbitration;150782;8722510
358;1954;The Nobel Prize in Physiology or Medicine;NA;for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue;181647;2688094
313;1923;The Nobel Prize in Physiology or Medicine;NA;for the discovery of insulin;114935;3226631
148;1995;The Nobel Prize in Physics;1995-10-11;for the detection of the neutrino;7200000;9446598
222;1958;The Nobel Prize in Chemistry;NA;for his work on the structure of proteins, especially that of insulin;214559;2694692
222;1980;The Nobel Prize in Chemistry;1980-10-14;for their contributions concerning the determination of base sequences in nucleic acids;880000;2942067
179;1921;The Nobel Prize in Chemistry;NA;for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes;121573;2578698
474;1908;The Nobel Peace Prize;1908-12-10;for their long time work for the cause of peace as politicians, peace society leaders, orators and authors;139800;7212924
487;1922;The Nobel Peace Prize;1922-12-10;for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees;122483;3203014
190;1931;The Nobel Prize in Chemistry;NA;in recognition of their contributions to the invention and development of chemical high pressure methods;173206;5333069
685;1974;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;1974-10-09;for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena;550000;3322627
508;1947;The Nobel Peace Prize;1947-10-30;for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations;146115;2967378
60;1953;The Nobel Prize in Physics;NA;for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope;175293;2614331
177;1918;The Nobel Prize in Chemistry;NA;for the synthesis of ammonia from its elements;138198;2899121
355;1953;The Nobel Prize in Physiology or Medicine;NA;for his discovery of co-enzyme A and its importance for intermediary metabolism;175293;2614331
181;1923;The Nobel Prize in Chemistry;NA;for his invention of the method of micro-analysis of organic substances;114935;3226631
659;1982;The Nobel Prize in Literature;NA;for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts;1150000;3158777
12;1908;The Nobel Prize in Physics;NA;for his method of reproducing colours photographically based on the phenomenon of interference;139800;7212924
615;1945;The Nobel Prize in Literature;NA;for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world;121333;2545326
734;2000;The Nobel Prize in Literature;2000-10-12;"for an &aelig;uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama";9000000;11538617
708;1992;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;1992-10-13;for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour;6500000;9350791
245;1973;The Nobel Prize in Chemistry;1973-10-23;for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds;510000;3392300
371;1961;The Nobel Prize in Physiology or Medicine;NA;for his discoveries of the physical mechanism of stimulation within the cochlea;250233;2930643
253;1979;The Nobel Prize in Chemistry;1979-10-15;for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis;800000;3042231
744;2001;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2001-10-10;for their analyses of markets with asymmetric information;10000000;12518033
280;1994;The Nobel Prize in Chemistry;1994-10-12;for his contribution to carbocation chemistry;7000000;9417195
364;1958;The Nobel Prize in Physiology or Medicine;NA;for their discovery that genes act by regulating definite chemical events;214559;2694692
596;1925;The Nobel Prize in Literature;NA;for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty;118165;3269232
514;1953;The Nobel Peace Prize;1953-10-30;for proposing and supervising the plan for the economic recovery of Europe;175293;2614331
421;1980;The Nobel Prize in Physiology or Medicine;1980-10-10;for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions;880000;2942067
201;1943;The Nobel Prize in Chemistry;NA;for his work on the use of isotopes as tracers in the study of chemical processes;123691;2566588
405;1974;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning the structural and functional organization of the cell;550000;3322627
840;2009;The Nobel Prize in Physics;2009-10-06;for the invention of an imaging semiconductor circuit - the CCD sensor;10000000;11157218
805;2006;The Nobel Prize in Physics;2006-10-03;for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation;10000000;11762169
439;1988;The Nobel Prize in Physiology or Medicine;NA;for their discoveries of important principles for drug treatment;2500000;4729931
326;1934;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning liver therapy in cases of anaemia;162608;5261333
696;1982;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;1982-10-20;for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation;1150000;3158777
964;2018;The Nobel Prize in Chemistry;2018-10-03;for the phage display of peptides and antibodies;9000000;9163200
45;1937;The Nobel Prize in Physics;NA;for their experimental discovery of the diffraction of electrons by crystals;158463;4801680
235;1967;The Nobel Prize in Chemistry;NA;for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy;320000;2895166
327;1934;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning liver therapy in cases of anaemia;162608;5261333
387;1967;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning the primary physiological and chemical visual processes in the eye;320000;2895166
142;1992;The Nobel Prize in Physics;1992-10-14;for his invention and development of particle detectors, in particular the multiwire proportional chamber;6500000;9350791
430;1984;The Nobel Prize in Physiology or Medicine;NA;for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies;1650000;3850672
517;1958;The Nobel Peace Prize;1958-11-10;for his efforts to help refugees to leave their camps and return to a life of freedom and dignity;214559;2694692
398;1972;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning the chemical structure of antibodies;480000;3406394
697;1983;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;1983-10-17;for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium;1500000;3782695
961;2018;The Nobel Prize in Physics;2018-10-02;for their method of generating high-intensity, ultra-short optical pulses;9000000;9163200
158;1999;The Nobel Prize in Physics;1999-10-12;for elucidating the quantum structure of electroweak interactions in physics;7900000;10231411
128;1986;The Nobel Prize in Physics;1986-10-15;for their design of the scanning tunneling microscope;2000000;4172678
334;1939;The Nobel Prize in Physiology or Medicine;NA;for the discovery of the antibacterial effects of prontosil;148822;4304564
816;2007;The Nobel Prize in Chemistry;2007-10-10;for his studies of chemical processes on solid surfaces;10000000;11506932
240;1971;The Nobel Prize in Chemistry;NA;for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals;450000;3382087
582;1912;The Nobel Prize in Literature;NA;primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art;140476;6876120
438;1988;The Nobel Prize in Physiology or Medicine;NA;for their discoveries of important principles for drug treatment;2500000;4729931
344;1947;The Nobel Prize in Physiology or Medicine;NA;for their discovery of the course of the catalytic conversion of glycogen;146115;2967378
1001;2021;The Nobel Prize in Physics;2021-10-05;for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales;10000000;10000000
635;1963;The Nobel Prize in Literature;NA;for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture;265000;2890771
576;1906;The Nobel Prize in Literature;NA;not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces;138536;7556149
229;1963;The Nobel Prize in Chemistry;NA;for their discoveries in the field of the chemistry and technology of high polymers;265000;2890771
213;1951;The Nobel Prize in Chemistry;NA;for their discoveries in the chemistry of the transuranium elements;167612;2734798
418;1979;The Nobel Prize in Physiology or Medicine;1979-10-11;for the development of computer assisted tomography;800000;3042231
810;2006;The Nobel Peace Prize;2006-10-13;for their efforts to create economic and social development from below;10000000;11762169
597;1926;The Nobel Prize in Literature;NA;for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general;116960;3332487
972;2019;The Nobel Prize in Physiology or Medicine;2019-10-07;for their discoveries of how cells sense and adapt to oxygen availability;9000000;9000000
13;1909;The Nobel Prize in Physics;NA;in recognition of their contributions to the development of wireless telegraphy;139800;7212924
1009;2021;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2021-10-11;for their methodological contributions to the analysis of causal relationships;10000000;10000000
684;1974;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;1974-10-09;for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena;550000;3322627
461;1999;The Nobel Prize in Physiology or Medicine;1999-10-11;for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell;7900000;10231411
676;1999;The Nobel Prize in Literature;NA;whose frolicsome black fables portray the forgotten face of history;7900000;10231411
17;1912;The Nobel Prize in Physics;NA;for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys;140476;6876120
31;1925;The Nobel Prize in Physics;NA;for their discovery of the laws governing the impact of an electron upon an atom;118165;3269232
491;1926;The Nobel Peace Prize;1926-12-10;for their crucial role in bringing about the Locarno Treaty;116960;3332487
777;2004;The Nobel Prize in Physics;2004-10-05;for the discovery of asymptotic freedom in the theory of the strong interaction;10000000;11976161
389;1968;The Nobel Prize in Physiology or Medicine;NA;for their interpretation of the genetic code and its function in protein synthesis;350000;3107674
751;2002;The Nobel Prize in Physiology or Medicine;2002-10-07;for their discoveries concerning genetic regulation of organ development and programmed cell death';10000000;12252888
626;1955;The Nobel Prize in Literature;1955-10-27;for his vivid epic power which has renewed the great narrative art of Iceland;190214;2730214
416;1978;The Nobel Prize in Physiology or Medicine;NA;for the discovery of restriction enzymes and their application to problems of molecular genetics;725000;2951013
91;1970;The Nobel Prize in Physics;1970-10-27;for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics;400000;3235593
88;1967;The Nobel Prize in Physics;NA;for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars;320000;2895166
188;1930;The Nobel Prize in Chemistry;NA;for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin;172947;5158685
136;1989;The Nobel Prize in Physics;1989-10-12;for the development of the ion trap technique;3000000;5337372
354;1953;The Nobel Prize in Physiology or Medicine;NA;for his discovery of the citric acid cycle;175293;2614331
329;1935;The Nobel Prize in Physiology or Medicine;NA;for his discovery of the organizer effect in embryonic development;159917;5088026
187;1929;The Nobel Prize in Chemistry;NA;for their investigations on the fermentation of sugar and fermentative enzymes;172760;4996952
823;2008;The Nobel Prize in Physiology or Medicine;2008-10-06;for his discovery of human papilloma viruses causing cervical cancer;10000000;11124709
192;1934;The Nobel Prize in Chemistry;NA;for his discovery of heavy hydrogen;162608;5261333
441;1989;The Nobel Prize in Physiology or Medicine;1989-10-09;for their discovery of the cellular origin of retroviral oncogenes;3000000;5337372
801;2005;The Nobel Prize in Literature;2005-10-13;who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms;10000000;11923798
704;1990;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;1990-10-16;for their pioneering work in the theory of financial economics;4000000;6443882
650;1974;The Nobel Prize in Literature;NA;for writings that catch the dewdrop and reflect the cosmos;550000;3322627
272;1988;The Nobel Prize in Chemistry;1988-10-19;for the determination of the three-dimensional structure of a photosynthetic reaction centre;2500000;4729931
985;2020;The Nobel Prize in Physiology or Medicine;2020-10-05;for the discovery of Hepatitis C virus;10000000;10000000
18;1913;The Nobel Prize in Physics;NA;for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium;143010;7000156
647;1972;The Nobel Prize in Literature;NA;for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature;480000;3406394
129;1986;The Nobel Prize in Physics;1986-10-15;for their design of the scanning tunneling microscope;2000000;4172678
184;1927;The Nobel Prize in Chemistry;NA;for his investigations of the constitution of the bile acids and related substances;126501;3658946
2;1902;The Nobel Prize in Physics;NA;in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena;141847;8205634
4;1903;The Nobel Prize in Physics;NA;in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity;141358;7936836
600;1927;The Nobel Prize in Literature;NA;in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented;126501;3658946
481;1913;The Nobel Peace Prize;1913-12-10;for his unparalleled contribution to the organization of peaceful internationalism;143010;7000156
165;1906;The Nobel Prize in Chemistry;NA;in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him;138536;7556149
335;1943;The Nobel Prize in Physiology or Medicine;NA;for his discovery of vitamin K;123691;2566588
587;1917;The Nobel Prize in Literature;1917-11-08;for his authentic descriptions of present-day life in Denmark;133823;3991689
462;1901;The Nobel Peace Prize;1901-12-10;for his humanitarian efforts to help wounded soldiers and create international understanding;150782;8722510
530;1973;The Nobel Peace Prize;1973-10-17;for jointly having negotiated a cease fire in Vietnam in 1973;510000;3392300
260;1983;The Nobel Prize in Chemistry;1983-10-19;for his work on the mechanisms of electron transfer reactions, especially in metal complexes;1500000;3782695
139;1990;The Nobel Prize in Physics;1990-10-17;for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics;4000000;6443882
575;1905;The Nobel Prize in Literature;NA;because of his outstanding merits as an epic writer;138089;7753291
262;1985;The Nobel Prize in Chemistry;1985-10-15;for their outstanding achievements in the development of direct methods for the determination of crystal structures;1800000;3913667
252;1979;The Nobel Prize in Chemistry;1979-10-15;for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis;800000;3042231
727;2000;The Nobel Prize in Physics;2000-10-10;for developing semiconductor heterostructures used in high-speed- and opto-electronics;9000000;11538617
338;1944;The Nobel Prize in Physiology or Medicine;NA;for their discoveries relating to the highly differentiated functions of single nerve fibres;121841;2555983
691;1978;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;1978-10-16;for his pioneering research into the decision-making process within economic organizations;725000;2951013
617;1946;The Nobel Prize in Literature;NA;for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style;121524;2549333
342;1946;The Nobel Prize in Physiology or Medicine;NA;for the discovery of the production of mutations by means of X-ray irradiation;121524;2549333
216;1953;The Nobel Prize in Chemistry;NA;for his discoveries in the field of macromolecular chemistry;175293;2614331
844;2009;The Nobel Prize in Literature;2009-10-08;who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed;10000000;11157218
731;2000;The Nobel Prize in Chemistry;2000-10-10;for the discovery and development of conductive polymers;9000000;11538617
54;1949;The Nobel Prize in Physics;NA;for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces;156290;2983576
907;2014;The Nobel Prize in Physics;2014-10-07;for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources;8000000;8531844
485;1921;The Nobel Peace Prize;1921-12-10;for their lifelong contributions to the cause of peace and organized internationalism;121573;2578698
156;1998;The Nobel Prize in Physics;1998-10-13;for their discovery of a new form of quantum fluid with fractionally charged excitations;7600000;9889843
408;1975;The Nobel Prize in Physiology or Medicine;1975-10-16;for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell;630000;3465908
359;1955;The Nobel Prize in Physiology or Medicine;1955-10-20;for his discoveries concerning the nature and mode of action of oxidation enzymes;190214;2730214
71;1958;The Nobel Prize in Physics;NA;for the discovery and the interpretation of the Cherenkov effect;214559;2694692
721;1958;The Nobel Prize in Physics;NA;for the discovery and the interpretation of the Cherenkov effect;214559;2694692
301;1908;The Nobel Prize in Physiology or Medicine;NA;in recognition of their work on immunity;139800;7212924
250;1977;The Nobel Prize in Chemistry;1977-10-11;for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures;700000;3136854
761;2002;The Nobel Prize in Literature;2002-10-10;for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history;10000000;12252888
467;1904;The Nobel Peace Prize;1904-12-10;for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane;140859;7908819
818;2007;The Nobel Peace Prize;2007-10-12;for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change;10000000;11506932
797;2005;The Nobel Peace Prize;2005-10-07;for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way;10000000;11923798
948;2017;The Nobel Peace Prize;2017-10-06;for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons;9000000;9342577
564;1997;The Nobel Peace Prize;1997-10-10;for their work for the banning and clearing of anti-personnel mines;7500000;9746426
482;1917;The Nobel Peace Prize;1917-12-10;for the efforts to take care of wounded soldiers and prisoners of war and their families;133823;3991689
482;1944;The Nobel Peace Prize;1945-11-12;for the great work it has performed during the war on behalf of humanity;121841;2555983
482;1963;The Nobel Peace Prize;1963-10-10;for promoting the principles of the Geneva Convention and cooperation with the UN;265000;2890771
527;1969;The Nobel Peace Prize;1969-10-20;for creating international legislation insuring certain norms for working conditions in every country;375000;3239253
547;1985;The Nobel Peace Prize;1985-10-05;for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war;1800000;3913667
194;1935;The Nobel Prize in Chemistry;NA;in recognition of their synthesis of new radioactive elements;159917;5088026
191;1932;The Nobel Prize in Chemistry;NA;for his discoveries and investigations in surface chemistry;171753;5375024
781;2004;The Nobel Prize in Chemistry;2004-10-06;for the discovery of ubiquitin-mediated protein degradation;10000000;11976161
654;1978;The Nobel Prize in Literature;NA;for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life;725000;2951013
906;2014;The Nobel Prize in Physics;2014-10-07;for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources;8000000;8531844
49;1944;The Nobel Prize in Physics;NA;for his resonance method for recording the magnetic properties of atomic nuclei;121841;2555983
606;1933;The Nobel Prize in Literature;NA;for the strict artistry with which he has carried on the classical Russian traditions in prose writing;170332;5511251
296;1904;The Nobel Prize in Physiology or Medicine;NA;in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged;140859;7908819
98;1973;The Nobel Prize in Physics;1973-10-23;for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively;510000;3392300
633;1961;The Nobel Prize in Literature;NA;for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country;250233;2930643
130;1987;The Nobel Prize in Physics;1987-10-14;for their important break-through in the discovery of superconductivity in ceramic materials;2175000;4352280
80;1963;The Nobel Prize in Physics;NA;for their discoveries concerning nuclear shell structure;265000;2890771
763;2003;The Nobel Prize in Literature;2003-10-02;who in innumerable guises portrays the surprising involvement of the outsider;10000000;12021411
440;1989;The Nobel Prize in Physiology or Medicine;1989-10-09;for their discovery of the cellular origin of retroviral oncogenes;3000000;5337372
930;2016;The Nobel Prize in Physics;2016-10-04;for theoretical discoveries of topological phase transitions and topological phases of matter;8000000;8451577
790;2005;The Nobel Prize in Physiology or Medicine;2005-10-03;for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease;10000000;11923798
10;1906;The Nobel Prize in Physics;NA;in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases;138536;7556149
592;1922;The Nobel Prize in Literature;NA;for the happy manner in which he has continued the illustrious traditions of the Spanish drama;122483;3203014
728;2000;The Nobel Prize in Physics;2000-10-10;for his part in the invention of the integrated circuit;9000000;11538617
134;1988;The Nobel Prize in Physics;1988-10-19;for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino;2500000;4729931
837;2009;The Nobel Prize in Physiology or Medicine;NA;for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase;10000000;11157218
160;1901;The Nobel Prize in Chemistry;NA;in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions;150782;8722510
944;2017;The Nobel Prize in Chemistry;2017-10-04;for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution;9000000;9342577
382;1965;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning genetic control of enzyme and virus synthesis;282000;2833358
715;1996;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;1996-10-08;for their fundamental contributions to the economic theory of incentives under asymmetric information;7400000;9662517
204;1946;The Nobel Prize in Chemistry;NA;for his discovery that enzymes can be crystallized;121524;2549333
41;1935;The Nobel Prize in Physics;NA;for the discovery of the neutron;159917;5088026
116;1980;The Nobel Prize in Physics;1980-10-12;for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons;880000;2942067
690;1977;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;1977-10-14;for their pathbreaking contribution to the theory of international trade and international capital movements;700000;3136854
884;2013;The Nobel Prize in Physiology or Medicine;NA;for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells;8000000;8517568
30;1925;The Nobel Prize in Physics;NA;for their discovery of the laws governing the impact of an electron upon an atom;118165;3269232
732;2000;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2000-10-11;for his development of theory and methods for analyzing selective samples;9000000;11538617
700;1986;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;1986-10-16;for his development of the contractual and constitutional bases for the theory of economic and political decision-making;2000000;4172678
958;2018;The Nobel Prize in Physiology or Medicine;NA;for their discovery of cancer therapy by inhibition of negative immune regulation;9000000;9163200
973;2019;The Nobel Prize in Physics;2019-10-08;for theoretical discoveries in physical cosmology;9000000;9000000
104;1975;The Nobel Prize in Physics;1975-10-17;for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection;630000;3465908
695;1981;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;1981-10-13;for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices;1000000;2982813
373;1962;The Nobel Prize in Physiology or Medicine;NA;for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material;257220;2888429
678;1969;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;NA;for having developed and applied dynamic models for the analysis of economic processes;375000;3239253
496;1931;The Nobel Peace Prize;1931-12-10;for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind;173206;5333069
223;1959;The Nobel Prize in Chemistry;NA;for his discovery and development of the polarographic methods of analysis;220678;2753427
661;1984;The Nobel Prize in Literature;NA;for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man;1650000;3850672
32;1926;The Nobel Prize in Physics;NA;for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium;116960;3332487
420;1980;The Nobel Prize in Physiology or Medicine;1980-10-10;for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions;880000;2942067
915;2014;The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel;2014-10-13;for his analysis of market power and regulation;8000000;8531844
832;2008;The Nobel Prize in Literature;2008-10-09;author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization;10000000;11124709
268;1987;The Nobel Prize in Chemistry;1987-10-14;for their development and use of molecules with structure-specific interactions of high selectivity;2175000;4352280
637;1964;The Nobel Prize in Literature;NA;for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age;273000;2879320
931;2016;The Nobel Prize in Chemistry;2016-10-05;for the design and synthesis of molecular machines;8000000;8451577
938;2017;The Nobel Prize in Physiology or Medicine;NA;for their discoveries of molecular mechanisms controlling the circadian rhythm;9000000;9342577
992;2020;The Nobel Prize in Chemistry;2020-10-07;for the development of a method for genome editing;10000000;10000000
289;1997;The Nobel Prize in Chemistry;1997-10-15;for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase;7500000;9746426
138;1990;The Nobel Prize in Physics;1990-10-17;for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics;4000000;6443882
263;1985;The Nobel Prize in Chemistry;1985-10-15;for their outstanding achievements in the development of direct methods for the determination of crystal structures;1800000;3913667
