"name";"gender";"birthDate";"birthCity";"birthCountry";"birthContinent";"awardYear";"category";"awardDate";"motivation";"prizeAmount";"prizeAmountAdjusted"
NA;NA;NA;NA;NA;NA;"2012";"The Nobel Peace Prize";"2012-10-12";"for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe";8000000;8512821
"Eyvind Johnson";"male";"1900-07-29";"Svartbjörnsbyn";"Sweden";"Europe";"1974";"The Nobel Prize in Literature";NA;"for a narrative art, far-seeing in lands and ages, in the service of freedom";550000;3322627
"F. Duncan M. Haldane";"male";"1951-09-14";"London";"United Kingdom";"Europe";"2016";"The Nobel Prize in Physics";"2016-10-04";"for theoretical discoveries of topological phase transitions and topological phases of matter";8000000;8451577
"F. Sherwood Rowland";"male";"1927-06-28";"Delaware, OH";"USA";"North America";"1995";"The Nobel Prize in Chemistry";"1995-10-11";"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone";7200000;9446598
"F.W. de Klerk";"male";"1936-03-18";"Johannesburg";"South Africa";"Africa";"1993";"The Nobel Peace Prize";"1993-10-15";"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa";6700000;9208279
"Felix Bloch";"male";"1905-10-23";"Zurich";"Switzerland";"Europe";"1952";"The Nobel Prize in Physics";NA;"for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith";171135;2592831
"Feodor Lynen";"male";"1911-04-06";"Munich";"Germany";"Europe";"1964";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism";273000;2879320
"Ferdinand Braun";"male";"1850-06-06";"Fulda";"Hesse-Kassel";"Europe";"1909";"The Nobel Prize in Physics";NA;"in recognition of their contributions to the development of wireless telegraphy";139800;7212924
"Ferdinand Buisson";"male";"1841-12-20";"Paris";"France";"Europe";"1927";"The Nobel Peace Prize";"1927-12-10";"for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation";126501;3658946
"Ferid Murad";"male";"1936-09-14";"Whiting, IN";"USA";"North America";"1998";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system";7600000;9889843
"Finn E. Kydland";"male";"1943-12-01";"Gjesdal";"Norway";"Europe";"2004";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2004-10-11";"for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles";10000000;11976161
"Frances H. Arnold";"female";"1956-07-25";"Pittsburgh, PA";"USA";"North America";"2018";"The Nobel Prize in Chemistry";"2018-10-03";"for the directed evolution of enzymes";9000000;9163200
"Francis Crick";"male";"1916-06-08";"Northampton";"United Kingdom";"Europe";"1962";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material";257220;2888429
"Francis W. Aston";"male";"1877-09-01";"Harborne";"United Kingdom";"Europe";"1922";"The Nobel Prize in Chemistry";NA;"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule";122483;3203014
"Franco Modigliani";"male";"1918-06-18";"Rome";"Italy";"Europe";"1985";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1985-10-15";"for his pioneering analyses of saving and of financial markets";1800000;3913667
"François Englert";"male";"1932-11-06";"Etterbeek";"Belgium";"Europe";"2013";"The Nobel Prize in Physics";"2013-10-08";"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider";8000000;8517568
"François Jacob";"male";"1920-06-17";"Nancy";"France";"Europe";"1965";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning genetic control of enzyme and virus synthesis";282000;2833358
"François Mauriac";"male";"1885-10-11";"Bordeaux";"France";"Europe";"1952";"The Nobel Prize in Literature";NA;"for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life";171135;2592831
"Françoise Barré-Sinoussi";"female";"1947-07-30";"Paris";"France";"Europe";"2008";"The Nobel Prize in Physiology or Medicine";"2008-10-06";"for their discovery of human immunodeficiency virus";10000000;11124709
"Frank B. Kellogg";"male";"1856-12-22";"Potsdam, NY";"USA";"North America";"1929";"The Nobel Peace Prize";"1930-12-10";"for his crucial role in bringing about the Briand-Kellogg Pact";172760;4996952
"Frank Wilczek";"male";"1951-05-15";"New York, NY";"USA";"North America";"2004";"The Nobel Prize in Physics";"2004-10-05";"for the discovery of asymptotic freedom in the theory of the strong interaction";10000000;11976161
"Frans Eemil Sillanpää";"male";"1888-09-16";"Hämeenkyrö";"Russian Empire";"Europe";"1939";"The Nobel Prize in Literature";NA;"for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature";148822;4304564
"Frédéric Joliot";"male";"1900-03-19";"Paris";"France";"Europe";"1935";"The Nobel Prize in Chemistry";NA;"in recognition of their synthesis of new radioactive elements";159917;5088026
"Frédéric Mistral";"male";"1830-09-08";"Maillane";"France";"Europe";"1904";"The Nobel Prize in Literature";NA;"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist";140859;7908819
"Frédéric Passy";"male";"1822-05-20";"Paris";"France";"Europe";"1901";"The Nobel Peace Prize";"1901-12-10";"for his lifelong work for international peace conferences, diplomacy and arbitration";150782;8722510
"Frederick C. Robbins";"male";"1916-08-25";"Auburn, AL";"USA";"North America";"1954";"The Nobel Prize in Physiology or Medicine";NA;"for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue";181647;2688094
"Frederick G. Banting";"male";"1891-11-14";"Alliston";"Canada";"North America";"1923";"The Nobel Prize in Physiology or Medicine";NA;"for the discovery of insulin";114935;3226631
"Frederick Reines";"male";"1918-03-16";"Paterson, NJ";"USA";"North America";"1995";"The Nobel Prize in Physics";"1995-10-11";"for the detection of the neutrino";7200000;9446598
"Frederick Sanger";"male";"1918-08-13";"Rendcombe";"United Kingdom";"Europe";"1958";"The Nobel Prize in Chemistry";NA;"for his work on the structure of proteins, especially that of insulin";214559;2694692
"Frederick Sanger";"male";"1918-08-13";"Rendcombe";"United Kingdom";"Europe";"1980";"The Nobel Prize in Chemistry";"1980-10-14";"for their contributions concerning the determination of base sequences in nucleic acids";880000;2942067
"Frederick Soddy";"male";"1877-09-02";"Eastbourne";"United Kingdom";"Europe";"1921";"The Nobel Prize in Chemistry";NA;"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes";121573;2578698
"Fredrik Bajer";"male";"1837-04-21";"Næstved";"Denmark";"Europe";"1908";"The Nobel Peace Prize";"1908-12-10";"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors";139800;7212924
"Fridtjof Nansen";"male";"1861-10-10";"Kristiania";"Norway";"Europe";"1922";"The Nobel Peace Prize";"1922-12-10";"for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees";122483;3203014
"Friedrich Bergius";"male";"1884-10-11";"Goldschmieden, near Breslau";"Germany";"Europe";"1931";"The Nobel Prize in Chemistry";NA;"in recognition of their contributions to the invention and development of chemical high pressure methods";173206;5333069
"Friedrich von Hayek";"male";"1899-05-08";"Vienna";"Austria";"Europe";"1974";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1974-10-09";"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena";550000;3322627
NA;NA;NA;NA;NA;NA;"1947";"The Nobel Peace Prize";"1947-10-30";"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations";146115;2967378
"Frits Zernike";"male";"1888-07-16";"Amsterdam";"the Netherlands";"Europe";"1953";"The Nobel Prize in Physics";NA;"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope";175293;2614331
"Fritz Haber";"male";"1868-12-09";"Breslau";"Prussia";"Europe";"1918";"The Nobel Prize in Chemistry";NA;"for the synthesis of ammonia from its elements";138198;2899121
"Fritz Lipmann";"male";"1899-06-12";"Koenigsberg";"Germany";"Europe";"1953";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of co-enzyme A and its importance for intermediary metabolism";175293;2614331
"Fritz Pregl";"male";"1869-09-03";"Laibach";"Austria-Hungary";"Europe";"1923";"The Nobel Prize in Chemistry";NA;"for his invention of the method of micro-analysis of organic substances";114935;3226631
"Gabriel García Márquez";"male";"1927-03-06";"Aracataca";"Colombia";"South America";"1982";"The Nobel Prize in Literature";NA;"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts";1150000;3158777
"Gabriel Lippmann";"male";"1845-08-16";"Hollerich";"Luxembourg";"Europe";"1908";"The Nobel Prize in Physics";NA;"for his method of reproducing colours photographically based on the phenomenon of interference";139800;7212924
"Gabriela Mistral";"female";"1889-04-07";"Vicuña";"Chile";"South America";"1945";"The Nobel Prize in Literature";NA;"for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world";121333;2545326
"Gao Xingjian";"male";"1940-01-04";"Ganzhou";"China";"Asia";"2000";"The Nobel Prize in Literature";"2000-10-12";"for an &aelig;uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama";9000000;11538617
"Gary Becker";"male";"1930-12-02";"Pottsville, PA";"USA";"North America";"1992";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1992-10-13";"for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour";6500000;9350791
"Geoffrey Wilkinson";"male";"1921-07-14";"Todmorden";"United Kingdom";"Europe";"1973";"The Nobel Prize in Chemistry";"1973-10-23";"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds";510000;3392300
"Georg von Békésy";"male";"1899-06-03";"Budapest";"Hungary";"Europe";"1961";"The Nobel Prize in Physiology or Medicine";NA;"for his discoveries of the physical mechanism of stimulation within the cochlea";250233;2930643
"Georg Wittig";"male";"1897-06-16";"Berlin";"Germany";"Europe";"1979";"The Nobel Prize in Chemistry";"1979-10-15";"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis";800000;3042231
"George A. Akerlof";"male";"1940-06-17";"New Haven, CT";"USA";"North America";"2001";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2001-10-10";"for their analyses of markets with asymmetric information";10000000;12518033
"George A. Olah";"male";"1927-05-22";"Budapest";"Hungary";"Europe";"1994";"The Nobel Prize in Chemistry";"1994-10-12";"for his contribution to carbocation chemistry";7000000;9417195
"George Beadle";"male";"1903-10-22";"Wahoo, NE";"USA";"North America";"1958";"The Nobel Prize in Physiology or Medicine";NA;"for their discovery that genes act by regulating definite chemical events";214559;2694692
"George Bernard Shaw";"male";"1856-07-26";"Dublin";"Ireland";"Europe";"1925";"The Nobel Prize in Literature";NA;"for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty";118165;3269232
"George C. Marshall";"male";"1880-12-31";"Uniontown, PA";"USA";"North America";"1953";"The Nobel Peace Prize";"1953-10-30";"for proposing and supervising the plan for the economic recovery of Europe";175293;2614331
"George D. Snell";"male";"1903-12-19";"Bradford, MA";"USA";"North America";"1980";"The Nobel Prize in Physiology or Medicine";"1980-10-10";"for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions";880000;2942067
"George de Hevesy";"male";"1885-08-01";"Budapest";"Austria-Hungary";"Europe";"1943";"The Nobel Prize in Chemistry";NA;"for his work on the use of isotopes as tracers in the study of chemical processes";123691;2566588
"George E. Palade";"male";"1912-11-19";"Iasi";"Romania";"Europe";"1974";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the structural and functional organization of the cell";550000;3322627
"George E. Smith";"male";"1930-05-10";"White Plains, NY";"USA";"North America";"2009";"The Nobel Prize in Physics";"2009-10-06";"for the invention of an imaging semiconductor circuit - the CCD sensor";10000000;11157218
"George F. Smoot";"male";"1945-02-20";"Yukon, FL";"USA";"North America";"2006";"The Nobel Prize in Physics";"2006-10-03";"for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation";10000000;11762169
"George H. Hitchings";"male";"1905-04-18";"Hoquiam, WA";"USA";"North America";"1988";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries of important principles for drug treatment";2500000;4729931
"George H. Whipple";"male";"1878-08-28";"Ashland, NH";"USA";"North America";"1934";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning liver therapy in cases of anaemia";162608;5261333
"George J. Stigler";"male";"1911-01-17";"Renton, WA";"USA";"North America";"1982";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1982-10-20";"for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation";1150000;3158777
"George P. Smith";"male";"1941-03-10";"Norwalk, CT";"USA";"North America";"2018";"The Nobel Prize in Chemistry";"2018-10-03";"for the phage display of peptides and antibodies";9000000;9163200
"George Paget Thomson";"male";"1892-05-03";"Cambridge";"United Kingdom";"Europe";"1937";"The Nobel Prize in Physics";NA;"for their experimental discovery of the diffraction of electrons by crystals";158463;4801680
"George Porter";"male";"1920-12-06";"Stainforth";"United Kingdom";"Europe";"1967";"The Nobel Prize in Chemistry";NA;"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy";320000;2895166
"George R. Minot";"male";"1885-12-02";"Boston, MA";"USA";"North America";"1934";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning liver therapy in cases of anaemia";162608;5261333
"George Wald";"male";"1906-11-18";"New York, NY";"USA";"North America";"1967";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the primary physiological and chemical visual processes in the eye";320000;2895166
"Georges Charpak";"male";"1924-08-01";"Dabrovica";"Poland";"Europe";"1992";"The Nobel Prize in Physics";"1992-10-14";"for his invention and development of particle detectors, in particular the multiwire proportional chamber";6500000;9350791
"Georges J.F. Köhler";"male";"1946-04-17";"Munich";"Germany";"Europe";"1984";"The Nobel Prize in Physiology or Medicine";NA;"for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies";1650000;3850672
"Georges Pire";"male";"1910-02-10";"Dinant";"Belgium";"Europe";"1958";"The Nobel Peace Prize";"1958-11-10";"for his efforts to help refugees to leave their camps and return to a life of freedom and dignity";214559;2694692
"Gerald M. Edelman";"male";"1929-07-01";"New York, NY";"USA";"North America";"1972";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning the chemical structure of antibodies";480000;3406394
"Gerard Debreu";"male";"1921-07-04";"Calais";"France";"Europe";"1983";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1983-10-17";"for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium";1500000;3782695
"Gérard Mourou";"male";"1944-06-22";"Albertville";"France";"Europe";"2018";"The Nobel Prize in Physics";"2018-10-02";"for their method of generating high-intensity, ultra-short optical pulses";9000000;9163200
"Gerardus 't Hooft";"male";"1946-07-05";"Den Helder";"the Netherlands";"Europe";"1999";"The Nobel Prize in Physics";"1999-10-12";"for elucidating the quantum structure of electroweak interactions in physics";7900000;10231411
"Gerd Binnig";"male";"1947-07-20";"Frankfurt-on-the-Main";"West Germany";"Europe";"1986";"The Nobel Prize in Physics";"1986-10-15";"for their design of the scanning tunneling microscope";2000000;4172678
"Gerhard Domagk";"male";"1895-10-30";"Lagow";"Germany";"Europe";"1939";"The Nobel Prize in Physiology or Medicine";NA;"for the discovery of the antibacterial effects of prontosil";148822;4304564
"Gerhard Ertl";"male";"1936-10-10";"Bad Cannstatt";"Germany";"Europe";"2007";"The Nobel Prize in Chemistry";"2007-10-10";"for his studies of chemical processes on solid surfaces";10000000;11506932
"Gerhard Herzberg";"male";"1904-12-25";"Hamburg";"Germany";"Europe";"1971";"The Nobel Prize in Chemistry";NA;"for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals";450000;3382087
"Gerhart Hauptmann";"male";"1862-11-15";"Bad Salzbrunn";"Prussia";"Europe";"1912";"The Nobel Prize in Literature";NA;"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art";140476;6876120
"Gertrude B. Elion";"female";"1918-01-23";"New York, NY";"USA";"North America";"1988";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries of important principles for drug treatment";2500000;4729931
"Gerty Cori";"female";"1896-08-15";"Prague";"Austria-Hungary";"Europe";"1947";"The Nobel Prize in Physiology or Medicine";NA;"for their discovery of the course of the catalytic conversion of glycogen";146115;2967378
"Giorgio Parisi";"male";"1948-08-04";"Rome";"Italy";"Europe";"2021";"The Nobel Prize in Physics";"2021-10-05";"for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales";10000000;10000000
"Giorgos Seferis";"male";"1900-03-13";"Smyrna";"Ottoman Empire";"Asia";"1963";"The Nobel Prize in Literature";NA;"for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture";265000;2890771
"Giosuè Carducci";"male";"1835-07-27";"Val di Castello";"Tuscany";"Europe";"1906";"The Nobel Prize in Literature";NA;"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces";138536;7556149
"Giulio Natta";"male";"1903-02-26";"Imperia";"Italy";"Europe";"1963";"The Nobel Prize in Chemistry";NA;"for their discoveries in the field of the chemistry and technology of high polymers";265000;2890771
"Glenn T. Seaborg";"male";"1912-04-19";"Ishpeming, MI";"USA";"North America";"1951";"The Nobel Prize in Chemistry";NA;"for their discoveries in the chemistry of the transuranium elements";167612;2734798
"Godfrey N. Hounsfield";"male";"1919-08-28";"Newark";"United Kingdom";"Europe";"1979";"The Nobel Prize in Physiology or Medicine";"1979-10-11";"for the development of computer assisted tomography";800000;3042231
NA;NA;NA;NA;NA;NA;"2006";"The Nobel Peace Prize";"2006-10-13";"for their efforts to create economic and social development from below";10000000;11762169
"Grazia Deledda";"female";"1871-09-27";"Nuoro, Sardinia";"Italy";"Europe";"1926";"The Nobel Prize in Literature";NA;"for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general";116960;3332487
"Gregg L. Semenza";"male";"1956-07-12";"New York, NY";"USA";"North America";"2019";"The Nobel Prize in Physiology or Medicine";"2019-10-07";"for their discoveries of how cells sense and adapt to oxygen availability";9000000;9000000
"Guglielmo Marconi";"male";"1874-04-25";"Bologna";"Italy";"Europe";"1909";"The Nobel Prize in Physics";NA;"in recognition of their contributions to the development of wireless telegraphy";139800;7212924
"Guido W. Imbens";"male";"1963-09-03";NA;"the Netherlands";"Europe";"2021";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2021-10-11";"for their methodological contributions to the analysis of causal relationships";10000000;10000000
"Gunnar Myrdal";"male";"1898-12-06";"Skattungbyn";"Sweden";"Europe";"1974";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1974-10-09";"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena";550000;3322627
"Günter Blobel";"male";"1936-05-21";"Waltersdorf";"Germany";"Europe";"1999";"The Nobel Prize in Physiology or Medicine";"1999-10-11";"for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell";7900000;10231411
"Günter Grass";"male";"1927-10-16";"Danzig";"Free City of Danzig";"Europe";"1999";"The Nobel Prize in Literature";NA;"whose frolicsome black fables portray the forgotten face of history";7900000;10231411
"Gustaf Dalén";"male";"1869-11-30";"Stenstorp";"Sweden";"Europe";"1912";"The Nobel Prize in Physics";NA;"for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys";140476;6876120
"Gustav Hertz";"male";"1887-07-22";"Hamburg";"Germany";"Europe";"1925";"The Nobel Prize in Physics";NA;"for their discovery of the laws governing the impact of an electron upon an atom";118165;3269232
"Gustav Stresemann";"male";"1878-05-10";"Berlin";"Germany";"Europe";"1926";"The Nobel Peace Prize";"1926-12-10";"for their crucial role in bringing about the Locarno Treaty";116960;3332487
"H. David Politzer";"male";"1949-08-31";"New York, NY";"USA";"North America";"2004";"The Nobel Prize in Physics";"2004-10-05";"for the discovery of asymptotic freedom in the theory of the strong interaction";10000000;11976161
"H. Gobind Khorana";"male";"1922-01-09";"Raipur";"India";"Asia";"1968";"The Nobel Prize in Physiology or Medicine";NA;"for their interpretation of the genetic code and its function in protein synthesis";350000;3107674
"H. Robert Horvitz";"male";"1947-05-08";"Chicago, IL";"USA";"North America";"2002";"The Nobel Prize in Physiology or Medicine";"2002-10-07";"for their discoveries concerning genetic regulation of organ development and programmed cell death'";10000000;12252888
"Halldór Laxness";"male";"1902-04-23";"Reykjavik";"Iceland";"Europe";"1955";"The Nobel Prize in Literature";"1955-10-27";"for his vivid epic power which has renewed the great narrative art of Iceland";190214;2730214
"Hamilton O. Smith";"male";"1931-08-23";"New York, NY";"USA";"North America";"1978";"The Nobel Prize in Physiology or Medicine";NA;"for the discovery of restriction enzymes and their application to problems of molecular genetics";725000;2951013
"Hannes Alfvén";"male";"1908-05-30";"Norrköping";"Sweden";"Europe";"1970";"The Nobel Prize in Physics";"1970-10-27";"for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics";400000;3235593
"Hans Bethe";"male";"1906-07-02";"Strasbourg";"Germany";"Europe";"1967";"The Nobel Prize in Physics";NA;"for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars";320000;2895166
"Hans Fischer";"male";"1881-07-27";"Hoechst";"Germany";"Europe";"1930";"The Nobel Prize in Chemistry";NA;"for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin";172947;5158685
"Hans G. Dehmelt";"male";"1922-09-09";"Görlitz";"Prussia";"Europe";"1989";"The Nobel Prize in Physics";"1989-10-12";"for the development of the ion trap technique";3000000;5337372
"Hans Krebs";"male";"1900-08-25";"Hildesheim";"Germany";"Europe";"1953";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of the citric acid cycle";175293;2614331
"Hans Spemann";"male";"1869-06-27";"Stuttgart";"Württemberg";"Europe";"1935";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of the organizer effect in embryonic development";159917;5088026
"Hans von Euler-Chelpin";"male";"1873-02-15";"Augsburg";"Germany";"Europe";"1929";"The Nobel Prize in Chemistry";NA;"for their investigations on the fermentation of sugar and fermentative enzymes";172760;4996952
"Harald zur Hausen";"male";"1936-03-11";"Gelsenkirchen";"Germany";"Europe";"2008";"The Nobel Prize in Physiology or Medicine";"2008-10-06";"for his discovery of human papilloma viruses causing cervical cancer";10000000;11124709
"Harold C. Urey";"male";"1893-04-29";"Walkerton, IN";"USA";"North America";"1934";"The Nobel Prize in Chemistry";NA;"for his discovery of heavy hydrogen";162608;5261333
"Harold E. Varmus";"male";"1939-12-18";"Oceanside, NY";"USA";"North America";"1989";"The Nobel Prize in Physiology or Medicine";"1989-10-09";"for their discovery of the cellular origin of retroviral oncogenes";3000000;5337372
"Harold Pinter";"male";"1930-10-10";"London";"United Kingdom";"Europe";"2005";"The Nobel Prize in Literature";"2005-10-13";"who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms";10000000;11923798
"Harry M. Markowitz";"male";"1927-08-24";"Chicago, IL";"USA";"North America";"1990";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1990-10-16";"for their pioneering work in the theory of financial economics";4000000;6443882
"Harry Martinson";"male";"1904-05-06";"Jämshög";"Sweden";"Europe";"1974";"The Nobel Prize in Literature";NA;"for writings that catch the dewdrop and reflect the cosmos";550000;3322627
"Hartmut Michel";"male";"1948-07-18";"Ludwigsburg";"West Germany";"Europe";"1988";"The Nobel Prize in Chemistry";"1988-10-19";"for the determination of the three-dimensional structure of a photosynthetic reaction centre";2500000;4729931
"Harvey J. Alter";"male";"1935-09-12";"New York, NY";"USA";"North America";"2020";"The Nobel Prize in Physiology or Medicine";"2020-10-05";"for the discovery of Hepatitis C virus";10000000;10000000
"Heike Kamerlingh Onnes";"male";"1853-09-21";"Groningen";"the Netherlands";"Europe";"1913";"The Nobel Prize in Physics";NA;"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium";143010;7000156
"Heinrich Böll";"male";"1917-12-21";"Cologne";"Germany";"Europe";"1972";"The Nobel Prize in Literature";NA;"for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature";480000;3406394
"Heinrich Rohrer";"male";"1933-06-06";"Buchs";"Switzerland";"Europe";"1986";"The Nobel Prize in Physics";"1986-10-15";"for their design of the scanning tunneling microscope";2000000;4172678
"Heinrich Wieland";"male";"1877-06-04";"Pforzheim";"Germany";"Europe";"1927";"The Nobel Prize in Chemistry";NA;"for his investigations of the constitution of the bile acids and related substances";126501;3658946
"Hendrik A. Lorentz";"male";"1853-07-18";"Arnhem";"the Netherlands";"Europe";"1902";"The Nobel Prize in Physics";NA;"in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena";141847;8205634
"Henri Becquerel";"male";"1852-12-15";"Paris";"France";"Europe";"1903";"The Nobel Prize in Physics";NA;"in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity";141358;7936836
"Henri Bergson";"male";"1859-10-18";"Paris";"France";"Europe";"1927";"The Nobel Prize in Literature";NA;"in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented";126501;3658946
"Henri La Fontaine";"male";"1854-04-22";"Brussels";"Belgium";"Europe";"1913";"The Nobel Peace Prize";"1913-12-10";"for his unparalleled contribution to the organization of peaceful internationalism";143010;7000156
"Henri Moissan";"male";"1852-09-28";"Paris";"France";"Europe";"1906";"The Nobel Prize in Chemistry";NA;"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him";138536;7556149
"Henrik Dam";"male";"1895-02-21";"Copenhagen";"Denmark";"Europe";"1943";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of vitamin K";123691;2566588
"Henrik Pontoppidan";"male";"1857-07-24";"Fredericia";"Denmark";"Europe";"1917";"The Nobel Prize in Literature";"1917-11-08";"for his authentic descriptions of present-day life in Denmark";133823;3991689
"Henry Dunant";"male";"1828-05-08";"Geneva";"Switzerland";"Europe";"1901";"The Nobel Peace Prize";"1901-12-10";"for his humanitarian efforts to help wounded soldiers and create international understanding";150782;8722510
"Henry Kissinger";"male";"1923-05-27";"Fürth";"Germany";"Europe";"1973";"The Nobel Peace Prize";"1973-10-17";"for jointly having negotiated a cease fire in Vietnam in 1973";510000;3392300
"Henry Taube";"male";"1915-11-30";"Neudorf";"Canada";"North America";"1983";"The Nobel Prize in Chemistry";"1983-10-19";"for his work on the mechanisms of electron transfer reactions, especially in metal complexes";1500000;3782695
"Henry W. Kendall";"male";"1926-12-09";"Boston, MA";"USA";"North America";"1990";"The Nobel Prize in Physics";"1990-10-17";"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics";4000000;6443882
"Henryk Sienkiewicz";"male";"1846-05-05";"Wola Okrzejska";"Poland";"Europe";"1905";"The Nobel Prize in Literature";NA;"because of his outstanding merits as an epic writer";138089;7753291
"Herbert A. Hauptman";"male";"1917-02-14";"New York, NY";"USA";"North America";"1985";"The Nobel Prize in Chemistry";"1985-10-15";"for their outstanding achievements in the development of direct methods for the determination of crystal structures";1800000;3913667
